"問題文","選択肢1","選択肢2","選択肢3","選択肢4","選択肢5","正解","科目分類"
"医療法に規定されているのはどれか。 2つ選べ。[107A47-ori]","再教育研修","異状死体の届出","医療法人の業務範囲","医療の安全確保措置","保険医療機関の指定","34","公衆衛生学"
"封鎖性が良好で手用器具での除去が容易な仮封材はどれか。 2 つ選べ。[107A48-ori]","水硬性セメント","テンポラリーストッピング","グラスアイオノマーセメント","酸化亜鉛ユージノールセメント","ポリカルボキシレートセメント","14","歯内療法学歯科理工学"
"翼突下顎隙を通るのはどれか。 2 つ選べ。[107A49-ori]","舌神経","顔面動脈","耳下腺管","下歯槽神経","下顎後静脈","14","解剖学"
"悪性腫瘍の発生に注意すべきなのはどれか。 2 つ選べ。 [107A50-ori]","Hunt 症候群","Gardner 症候群","Peutz-Jeghers 症候群","Stevens-Johnson 症候群","Melkersson-Rosenthal 症候群","23","口腔外科学"
"歯性上顎洞炎患者の対症療法はどれか。 2 つ選べ。[107A51-ori]","冷罨法","原因歯の抜去","抗菌薬の投与","洞粘膜の摘出","NSAIDs の投与","15","口腔外科学"
"3 歳の女児。上顎乳中切歯が残根状態であり、 1 年前から歯の痛みや歯肉の腫脹を繰り返していたという。 後継永久歯に生じる可能性のあるのはどれか。 1 つ選べ。[107A52-ori]","骨性癒着","Turner 歯","Hutchinson 歯","歯髄腔の狭窄","象牙質形成不全","b","小児歯科学"
"食中毒の原因菌はどれか。すべて選べ。[107A53-ori]","枯草菌","ボツリヌス菌","レジオネラ菌","腸炎ビブリオ菌","黄色ブドウ球菌","245","公衆衛生学"
"負のアーチレングスディスクレパンシーの改善につながるのはどれか。2 つ選べ。 [107A54-ori]","連続抜去","乳切歯の早期抜去","永久切歯の舌側移動","乳犬歯の隣接面削除","第一大臼歯の遠心移動","15","歯科矯正学"
"術後の経過観察時に開鼻声の発現に注意するのはどれか。 2 つ選べ。 [107A55-ori]","口唇裂","唇顎裂","横顔裂","唇顎口蓋裂","粘膜下口蓋裂","45","口腔外科学"
"鋳造用金合金について正しいのはどれか。 2 つ選べ。[107A56-ori]","タイプ 1 は硬化熱処理が可能である。","タイプ 1 はタイプ 3 よりも硬さが大きい。","タイプ 2 はタイプ 3 よりも耐力が大きい。","タイプ 3 はタイプ 4 よりも伸びが大きい。","タイプ 1 はタイプ 4 よりも金の含有量が多い。","45","歯科理工学"
"歯質の被着面処理剤として使用されるのはどれか。 2 つ選べ。[107A57-ori]","リン酸","ポリ乳酸","メタクリル酸","ポリアクリル酸","ポリグリコール酸","14","保存修復学"
"アピカルシートの目的はどれか。 1 つ選べ。[107A58-ori]","側枝の封鎖","歯根破折の防止","マスターポイントの保持","コロナルリーケージの防止","マスターポイントの逸出防止","e","歯内療法学"
"クラウン印象採得時の写真を示す。 この印象法の特徴はどれか。 2つ選べ。[107A59-ori]","咬合採得が不要である。","模型作製が容易である。","全顎の印象にも応用できる。","口腔内で偏心位での咬合調整が不要である。","口腔内で咬頭嵌合位の咬合調整量を少なくできる。","15","冠橋義歯学"
"高齢者の栄養評価と評価内容との組合せで正しいのはどれか。 2 つ選べ。[107A60-ori]","SGA ー 脱 水","体重変化率 ー 栄養状態の変化","尿素窒素値 ー 骨格筋量","Body Mass Index ー 体脂肪量","血清アルブミン値 ー 血清蛋白","25","口腔外科学"
"上顎洞底挙上術の際の骨補塡に自家骨として多用されているのはどれか。2 つ選べ。[107A61-ori]","鎖 骨","腸 骨","肋 骨","下顎骨","肩甲骨","24","口腔外科学"
"DNA を持つのはどれか。 2 つ選べ。[107A62-ori]","核","中心小体","ゴルジ装置","リソソーム","ミトコンドリア","15","生化学"
"齲蝕予防に用いられるのはどれか。 1つ選べ。[107A63-ori]","10 ％フッ化水素酸溶液","10 ％フッ化物配合歯磨剤","1 ％フッ化第一スズ塗布液","0.1 ％リン酸酸性フッ化物溶液","0.2 ％フッ化ナトリウム洗口液","e","口腔衛生学"
"ワルファリンカリウムを服用している患者への併用で、出血傾向を増強するのはどれか。 2 つ選べ。[107A64-ori]","アスピリン","アシクロビル","インドメタシン","チアラミド塩酸塩","クリンダマイシン塩酸塩","13","歯科麻酔学"
"挿管困難症を呈する疾患はどれか。 2つ選べ。[107A65-ori]","Marfan症候群","Turner症候群","Ramsay Hunt症候群","Treacher Collins 症候群","Robinシークエンス〈Pierre Robin症候群〉","45","歯科麻酔学"
"心電図波形について正しいのはどれか。 2 つ選べ。[107A66-ori]","P 波は心室の収縮を示す。","心筋虚血では ST-T 波が偏位する。","心室細動ではフラットラインになる。","高カリウム血症では T 波が低下する。","心室性期外収縮では QRS 波が延長する。","25","歯科麻酔学"
"唾液緩衝能に影響するのはどれか。 1つ選べ。[107A67-ori]","尿素","ムチン","重炭酸塩","アミラーゼ","リゾチーム","c","口腔衛生学"
"歯周プローブを用いて評価するのはどれか。 2つ選べ。[107A68-ori]","GI","OHI","BOP","PMA Index","O’LearyのPCR","13","疫学"
"糖尿病が歯周病に及ぼす影響で正しいのはどれか。 1つ選べ。[107A69-ori]","骨隆起の増大","歯間乳頭の壊死","歯根膜腔の拡大","セメント質の肥厚","アタッチメントロスの増加","e","歯周病学"
"疾病の自然 〈natural history〉と予防手段との関係を図に示す。正しい組合せはどれか。すべて選べ。[107A70-ori]","アー治癒","イー慢性化","ウー死亡","エー早期発見・早期治療","オー臨床的境界","245","公衆衛生学"
"閉塞性睡眠時無呼吸症候群にみられる無呼吸イベントで正しいのはどれか。 2 つ選べ。[107A71-ori]","覚醒には至らない。","鼻呼吸流量が低下する。","腹部呼吸筋活動が停止する。","呼吸中枢の抑制が原因である。","経皮的動脈血酸素飽和度が低下する。","25","口腔外科学"
"性染色体異常に関連するのはどれか。 2 つ選べ。[107A72-ori]","Down 症候群","Turner 症候群","Marfan 症候群","Klinefelter 症候群","Treacher Collins 症候群","24","病理学"
"C 型肝炎で正しいのはどれか。 2 つ選べ。 [107A73-ori]","5 類感染症に分類されている。","食物や飲み水により経口感染する。","予防にはワクチン接種が有効である。","キャリアの半数以上が慢性肝炎へと移行する。","キャリアの割合は 30 歳代より若い世代で増加している。","14","口腔外科学"
"クラスプに求められる要件のうち受動性に該当するのはどれか。 1 つ選べ。[107A74-ori]","咬合力を支持する。","離脱力に抵抗する。","支台歯の 3 面 4 隅角を取り囲む。","着脱時に支台歯に生じる側方圧を相殺する。","義歯が静止状態にあるとき支台歯に力を及ぼさない。","e","部分床義歯学"
"オタワ憲章でのヘルスプロモーションの活動方針で正しいのはどれか。 2つ選べ。[107A75-ori]","三次予防の優先","個人的な技術の強化","医療サービスの組織化","バリアフリー社会の実現","健康を支援する環境づくり","25","公衆衛生学"
"第一大臼歯の異所萌出によって、下顎に比べ上顎で第二乳臼歯の歯根吸収を生じやすい理由はどれか。 1 つ選べ。[107A76-ori]","歯冠頰舌径の差","萌出時期の違い","萌出経路の違い","歯肉の厚径の違い","歯冠近遠心幅径の差","c","小児歯科学"
"治療に免疫抑制薬を用いる疾患はどれか。 2 つ選べ。[107A77-ori]","AIDS","糖尿病","悪性黒色腫","クローン病","関節リウマチ","45","口腔外科学"
"脱水の診断に有用な身体的所見はどれか。すべて選べ。[107A78-ori]","体温の低下","尿量の低下","脈拍数の減少","口腔粘膜の乾燥","皮膚緊張度の低下","245","歯科麻酔学"
"ヘッドギアの装着時に患児と保護者へ指示するのはどれか。 2 つ選べ。[107A79-ori]","毎日の使用","半年に 1 回の来院","口腔内のゴムの交換","フェイスボウの調節方法","装置破損時の歯科医師への連絡","15","歯科矯正学"
"支台歯形成時の写真を示す。この状態で、患者の顔が急に動いた場合生じやすいのはどれか。 2 つ選べ。[107A80-ori]","歯肉の損傷","形成面の発熱","隣在歯咬合面の切削","軸面テーパーの変化","咬合面クリアランスの減少","14","冠橋義歯学"
"嚥下の異常を検出するのはどれか。 2 つ選べ。[107A81-ori]","VE 検査","VF 検査","ソナグラフ","咬合力検査","機能的ワックスバイト法","12","口腔外科学"
"41 歳の女性。修復物の脱離を主訴として来院した。下顎左側側切歯のコンポジットレジン修復を行うこととした。病巣除去後に窩洞形成中のあるステップを行っている口腔内写真を示す。 このステップの目的で正しいのはどれか。 2 つ選べ。[107A82-ori]","窩洞の清掃","審美性の向上","接着面積の増加","抵抗形態の付与","遊離エナメル質の除去","23","保存修復学"
"人口構成の年次推移で 2000〜2010 年まで経年的に低下しているのはどれか。 2つ選べ。[107A83-ori]","老年化指数","老年人口割合","年少人口指数","従属人口指数","生産年齢人口割合","35","公衆衛生学"
"1 歳 7 か月の男児。 1 歳 6 か月児歯科健診で歯科受診を勧められて来院した。口腔内写真を示す。 口腔内の状態から考えられるのはどれか。 2 つ選べ。[107A84-ori]","吸指癖","外傷の既往","牛乳の頻回摂取","口腔清掃の不良","就寝前の飲食習慣","45","小児歯科学"
